"experiment","age","participant","condition","trial","rating"
"constrained","4_years",51,"conjunctive","mm",20
"constrained","4_years",51,"conjunctive","mc",20
"constrained","4_years",51,"conjunctive","co",0
"constrained","4_years",51,"conjunctive","cm",20
"constrained","4_years",51,"conjunctive","cc",20
"constrained","4_years",71,"conjunctive","oo",0.5
"constrained","4_years",71,"conjunctive","om",2.25
"constrained","4_years",71,"conjunctive","oc",1
"constrained","4_years",71,"conjunctive","mo",7
"constrained","4_years",71,"conjunctive","mm",17.75
"constrained","4_years",71,"conjunctive","mc",20
"constrained","4_years",71,"conjunctive","co",8.75
"constrained","4_years",71,"conjunctive","cm",18.75
"constrained","4_years",71,"conjunctive","cc",17.5
"constrained","4_years",74,"conjunctive","oo",1.5
"constrained","4_years",74,"conjunctive","om",5.75
"constrained","4_years",74,"conjunctive","oc",4
"constrained","4_years",74,"conjunctive","mo",7.25
"constrained","4_years",74,"conjunctive","mm",18
"constrained","4_years",74,"conjunctive","mc",17.75
"constrained","4_years",74,"conjunctive","co",8.25
"constrained","4_years",74,"conjunctive","cm",17.75
"constrained","4_years",74,"conjunctive","cc",20
"constrained","4_years",76,"conjunctive","oo",1
"constrained","4_years",76,"conjunctive","om",0
"constrained","4_years",76,"conjunctive","oc",2.5
"constrained","4_years",76,"conjunctive","mo",3.75
"constrained","4_years",76,"conjunctive","mm",13
"constrained","4_years",76,"conjunctive","mc",15.75
"constrained","4_years",76,"conjunctive","co",9.25
"constrained","4_years",76,"conjunctive","cm",19.75
"constrained","4_years",76,"conjunctive","cc",20
"constrained","4_years",78,"conjunctive","oo",0
"constrained","4_years",78,"conjunctive","om",0
"constrained","4_years",78,"conjunctive","oc",0
"constrained","4_years",78,"conjunctive","mo",6.25
"constrained","4_years",78,"conjunctive","mm",17
"constrained","4_years",78,"conjunctive","mc",15.5
"constrained","4_years",78,"conjunctive","co",6.75
"constrained","4_years",78,"conjunctive","cm",20
"constrained","4_years",78,"conjunctive","cc",20
"constrained","4_years",81,"conjunctive","oo",0
"constrained","4_years",81,"conjunctive","om",0.75
"constrained","4_years",81,"conjunctive","oc",0.75
"constrained","4_years",81,"conjunctive","mo",3.25
"constrained","4_years",81,"conjunctive","mm",18
"constrained","4_years",81,"conjunctive","mc",18.75
"constrained","4_years",81,"conjunctive","co",10
"constrained","4_years",81,"conjunctive","cm",20
"constrained","4_years",81,"conjunctive","cc",20
"constrained","4_years",93,"conjunctive","oo",0.75
"constrained","4_years",93,"conjunctive","om",2.75
"constrained","4_years",93,"conjunctive","oc",0.25
"constrained","4_years",93,"conjunctive","mo",1
"constrained","4_years",93,"conjunctive","mm",19
"constrained","4_years",93,"conjunctive","mc",12.75
"constrained","4_years",93,"conjunctive","co",3.75
"constrained","4_years",93,"conjunctive","cm",18
"constrained","4_years",93,"conjunctive","cc",19.5
"constrained","4_years",95,"conjunctive","oo",0
"constrained","4_years",95,"conjunctive","om",0.25
"constrained","4_years",95,"conjunctive","oc",1.25
"constrained","4_years",95,"conjunctive","mo",1
"constrained","4_years",95,"conjunctive","mm",17.5
"constrained","4_years",95,"conjunctive","mc",19.25
"constrained","4_years",95,"conjunctive","co",3.75
"constrained","4_years",95,"conjunctive","cm",18
"constrained","4_years",95,"conjunctive","cc",17.75
"constrained","4_years",138,"conjunctive","oo",0
"constrained","4_years",138,"conjunctive","om",0
"constrained","4_years",138,"conjunctive","oc",1.75
"constrained","4_years",138,"conjunctive","mo",5
"constrained","4_years",138,"conjunctive","mm",17.5
